Date,Close,Volume
2023-11-20,137.5,8951
2023-11-21,151.1999969482422,10476
2023-11-22,166.3000030517578,20544
2023-11-23,182.8999938964844,47220
2023-11-24,201.1000061035156,188460
2023-11-27,221.1999969482422,260096
2023-11-28,243.3000030517578,423942
2023-11-29,267.5,1796084
2023-11-30,294.25,4729939
2023-12-01,287.25,17560040
2023-12-04,315.75,6796567
2023-12-05,347.25,2268642
2023-12-06,313.0,10893010
2023-12-07,314.25,1362254
2023-12-08,321.0,1022881
2023-12-11,353.0,1093789
2023-12-12,361.0,941681
2023-12-13,340.0,539186
2023-12-14,310.0,751484
2023-12-15,295.0,984103
2023-12-18,277.5,887344
2023-12-19,268.0,591330
2023-12-20,241.1999969482422,724716
2023-12-21,264.75,916841
2023-12-22,259.25,648775
2023-12-26,226.0,384567
2023-12-27,225.0,400157
2023-12-28,228.6999969482422,289963
2023-12-29,248.5,447219
2024-01-02,271.5,410801
2024-01-03,282.0,597433
2024-01-04,310.0,587413
2024-01-05,318.0,793538
2024-01-08,302.0,2059362
2024-01-09,285.0,1950157
2024-01-10,295.5,3563270
2024-01-11,303.0,1767950
2024-01-12,311.5,1969218
2024-01-15,342.5,2952460
2024-01-16,351.75,4646169
2024-01-17,342.0,2567886
2024-01-18,337.5,2230432
2024-01-19,360.0,3519462
2024-01-22,396.0,4389821
2024-01-25,470.25,1828981
2024-01-26,485.25,7231820
2024-01-29,478.5,4466276
2024-01-30,526.0,5878194
2024-01-31,535.0,5733290
2024-02-01,572.5,4856740
2024-02-02,566.0,4470935
2024-02-05,622.5,4751825
2024-02-06,652.0,4218950
2024-02-07,646.0,3702681
2024-02-08,648.5,5842776
2024-02-09,677.5,3797903
2024-02-12,670.0,3410998
2024-02-13,603.0,5214652
2024-02-14,643.0,4866373
2024-02-15,615.0,2553785
2024-02-16,591.5,2684017
2024-02-19,603.0,2625764
2024-02-20,597.0,2396894
2024-02-21,579.5,1790871
2024-02-22,589.5,2192919
2024-02-23,606.5,2944373
2024-02-26,632.0,4146390
2024-02-27,588.0,1844475
2024-02-28,580.0,1591993
2024-02-29,610.0,1761428
2024-03-01,595.0,1178604
2024-03-04,567.0,1471592
2024-03-05,557.5,1483679
2024-03-06,555.0,1302769
2024-03-07,550.0,2319502
2024-03-08,529.0,1444899
2024-03-11,511.5,1083732
2024-03-12,562.5,1880848
2024-03-13,550.5,3238058
2024-03-14,579.5,2547195
2024-03-15,561.0,1117778
2024-03-18,532.0,777498
2024-03-19,542.5,877029
2024-03-20,536.5,883896
2024-03-21,524.5,1035759
2024-03-22,559.5,1933795
2024-03-25,538.5,1156569
2024-03-26,509.5,978018
2024-03-27,523.0,1168477
2024-03-28,518.5,662375
2024-03-29,524.5,889556
2024-04-01,472.25,2663269
2024-04-02,452.5,3087772
2024-04-03,446.25,1204280
2024-04-04,430.75,948625
2024-04-05,450.5,853850
2024-04-08,480.0,1244336
2024-04-09,494.75,493562
2024-04-15,544.0,2374813
2024-04-16,529.0,1837736
2024-04-17,505.5,1113050
2024-04-18,485.75,1092576
2024-04-19,482.25,812370
2024-04-22,463.25,1072566
2024-04-24,466.75,1164916
2024-04-25,468.5,716956
2024-04-26,458.75,618971
2024-04-29,458.5,1005264
2024-04-30,504.0,1809156
2024-05-02,505.5,2759037
2024-05-03,505.5,1043426
2024-05-06,526.5,2523020
2024-05-07,546.0,1886778
2024-05-08,510.5,1227699
2024-05-09,509.5,892405
2024-05-10,513.0,1467859
2024-05-13,484.75,933356
2024-05-14,483.25,742705
2024-05-15,480.0,1264538
2024-05-16,486.0,886566
2024-05-17,488.0,809269
2024-05-20,507.5,1586618
2024-05-21,487.5,826315
2024-05-22,491.5,732560
2024-05-23,474.25,596410
2024-05-24,459.5,578622
2024-05-27,441.0,626084
2024-05-28,458.25,1043525
2024-05-29,420.25,821654
2024-05-30,418.75,786962
2024-05-31,423.0,804386
